CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
40861252,SWEET & VICIOUS,Manhattan,5,SPRING STREET,10012,2123347915,American,43887,Violations were cited in the following area(s).,10D,"Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",N,12,A,43887,44084,Cycle Inspection / Initial Inspection,40.72111033,-73.99421701,102,1,4300,1007409,1004920041,MN24
50056495,MARKLE RESIDENCE,Manhattan,123,WEST   13 STREET,10011,2122172332,American,43843,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,N,11,A,43843,44084,Cycle Inspection / Initial Inspection,40.73703559,-73.99820659,102,3,7100,1010639,1006090023,MN23
50001107,CHINESE MUSICIAN RESTAURANT,Brooklyn,151,GREENPOINT AVENUE,11222,7183835340,Chinese,43885,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Y,12,A,43885,44084,Cycle Inspection / Re-inspection,40.73024671,-73.95374052,301,33,57500,3064781,3025590058,BK76
50042946,BAKE SHOP,Brooklyn,995,FLUSHING AVENUE,11206,3472369131,American,43864,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Y,10,A,43864,44084,Cycle Inspection / Re-inspection,40.70312354,-73.93282654,301,34,48500,3071638,3031240012,BK78
41620315,TACOS GLORIA,Queens,103-07,MARTENSE AVENUE,11368,7185925050,Mexican,43887,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,11,A,43887,44084,Cycle Inspection / Initial Inspection,40.74050281,-73.85628867,404,21,43900,4047857,4019440023,QN25
41624694,MCDONALD'S,Queens,15940,CROSS BAY BOULEVARD,11414,7188432036,American,43901,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,N,4,A,43901,44084,Cycle Inspection / Re-inspection,40.65843673,-73.83969936,410,32,89200,4293393,4140130078,QN57
50038465,BLOCKHEADS BURRITOS,Manhattan,60,3 AVENUE,10003,9173883534,Mexican,43838,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,10,A,43838,44084,Cycle Inspection / Initial Inspection,40.73112558,-73.98876422,103,2,4200,1008971,1005560022,MN22
41599926,THE STAYTON ROOM,Manhattan,511,LEXINGTON AVENUE,10017,2127554400,American,43873,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,10,A,43873,44084,Cycle Inspection / Initial Inspection,40.75509576,-73.97320342,106,4,9200,1036219,1013020051,MN19
50084969,GOLDEN BAY KITCHEN,Brooklyn,6604,BAY PARKWAY,11204,7183531668,Chinese,43872,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,9,A,43872,44084,Cycle Inspection / Re-inspection,40.61302528,-73.98229744,311,47,25600,3134524,3055640041,BK28
50078233,EJEN,Brooklyn,254,36 STREET,11232,3106345593,Korean,43845,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Y,7,A,43845,44084,Cycle Inspection / Re-inspection,40.65594384,-74.00715768,307,38,200,3398687,3006950020,BK32
